Date,pH,EC,Turbidity,WQI,Class
2025-02-01,7.462035639341568,741,10.34811453616692,100.9,Poor
2025-02-02,6.163000130747665,750,0.5,40.9,Safe
2025-02-03,7.892632749074082,842,61.27566241424258,519.0,Hazardous
2025-02-04,8.076290067499565,710,41.3155810776715,383.2,Hazardous
2025-02-05,5.5,684,2.902878747408468,102.7,Poor
2025-02-06,5.90970881283621,739,0.5,42.6,Safe
2025-02-07,7.291165645381699,740,63.2606259958562,532.6,Hazardous
2025-02-08,6.862163584597066,696,44.31386690070389,389.3,Hazardous
2025-02-09,7.151436071787404,674,120.0,951.9,Hazardous
2025-02-10,6.343591873062175,824,47.07289660709502,449.6,Hazardous
2025-02-11,8.01720053146144,735,45.80763823836687,412.5,Hazardous
2025-02-12,7.919045004801035,687,24.20561507433314,172.4,Poor
2025-02-13,7.231454980146722,761,62.51935787188793,490.5,Hazardous
2025-02-14,8.256627076498008,715,55.05330265070261,466.0,Hazardous
2025-02-15,7.619299521987939,709,79.45995480547117,651.2,Hazardous
2025-02-16,6.337555536269668,745,10.40247791417266,126.2,Poor
2025-02-17,7.52389477692195,662,13.74875175964817,135.3,Poor
2025-02-18,6.241347451644839,736,12.04687184631915,156.0,Poor
2025-02-19,8.016285040635639,806,61.50770502192694,532.9,Hazardous
2025-02-20,7.119436225699179,741,89.06656902651325,751.4,Hazardous
2025-02-21,6.989082177451534,703,12.83607183346212,144.8,Poor
2025-02-22,6.509861299761365,697,14.16291970105451,160.2,Poor
2025-02-23,8.34869084229901,702,42.94002252933423,339.5,Hazardous
2025-02-24,7.018384962729243,709,21.13516934728677,182.4,Poor
2025-02-25,6.753884737935127,703,67.78821859080549,501.3,Hazardous
2025-02-26,6.827491473385341,761,0.5,25.5,Safe
2025-02-27,7.681898780675609,642,0.5,34.6,Safe
2025-02-28,7.520700352483321,759,0.5,64.0,Moderate
2025-03-01,7.566382993834321,803,0.5,80.7,Moderate
2025-03-02,7.583857108516544,837,0.5,27.9,Safe
2025-03-03,8.8,769,0.5,47.6,Safe
2025-03-04,6.775053390938226,880,26.68689855008789,272.5,Hazardous
2025-03-05,6.672819557871537,876,86.39808522928377,696.1,Hazardous
2025-03-06,6.381529433406788,863,24.68954404687954,220.3,Hazardous
2025-03-07,7.762727599774045,752,0.5,68.6,Moderate
2025-03-08,8.258299375061291,857,33.23706006951897,310.7,Hazardous
2025-03-09,7.057588832907517,838,83.49937315723633,711.3,Hazardous
2025-03-10,6.356041669443234,748,0.5,74.1,Moderate
2025-03-11,6.371184603211695,819,0.5,26.4,Safe
2025-03-12,7.796165504788891,836,61.20545531754224,563.4,Hazardous
2025-03-13,7.885680133420201,845,25.75849573480217,270.8,Hazardous
2025-03-14,7.692375567440591,828,65.24668284343288,592.5,Hazardous
2025-03-15,6.524757483506916,833,35.20495830579484,291.1,Hazardous
2025-03-16,7.391943855923901,886,67.70856728914514,529.8,Hazardous
2025-03-17,7.28038985825861,875,0.5,40.3,Safe
2025-03-18,7.378928659616701,691,35.2759417804349,318.9,Hazardous
2025-03-19,8.009501966252373,806,26.25134110401616,229.7,Hazardous
2025-03-20,7.383668972938858,813,0.5,62.6,Moderate
2025-03-21,7.823524514403946,741,0.5,10.0,Safe
2025-03-22,7.232950769795388,824,66.98540944995526,539.9,Hazardous
2025-03-23,7.446967651177753,876,19.87783820845409,172.5,Poor
2025-03-24,7.777516520346061,771,0.5,91.5,Moderate
2025-03-25,5.759995452227869,835,31.45470886971702,270.0,Hazardous
2025-03-26,6.858851395699022,779,87.08208994040622,765.4,Hazardous
2025-03-27,6.713267736583319,790,0.5,39.2,Safe
2025-03-28,6.550484932043509,886,0.5,25.6,Safe
2025-03-29,6.901868169587575,796,0.5,10.7,Safe
2025-03-30,8.611840187730802,841,102.2208353992704,883.7,Hazardous
2025-03-31,6.331238934286247,736,48.66578069017783,414.2,Hazardous
2025-04-01,8.103062558272551,1104,74.0581365190375,681.7,Hazardous
2025-04-02,5.541946683345042,1047,0.5,56.2,Moderate
2025-04-03,6.844154238940069,1012,0.5,61.4,Moderate
2025-04-04,7.324892683052955,1046,58.8485972119095,496.5,Hazardous
2025-04-05,7.733981051079859,957,40.30509405901559,362.9,Hazardous
2025-04-06,7.854740190085275,1073,63.65300215284545,531.4,Hazardous
2025-04-07,7.934072050928291,1005,28.59719488931931,272.0,Hazardous
2025-04-08,6.830784200654324,1011,50.77168351772933,466.8,Hazardous
2025-04-09,6.721016211986705,998,45.0580704654822,390.9,Hazardous
2025-04-10,7.99650592618257,994,74.55560191283877,647.7,Hazardous
2025-04-11,6.982858983326275,1051,75.9475756354408,597.9,Hazardous
2025-04-12,5.935302295233878,1032,0.5,51.3,Moderate
2025-04-13,6.072865570513301,1049,0.5,10.0,Safe
2025-04-14,6.279438723973058,1020,85.21777641834957,695.4,Hazardous
2025-04-15,7.647943970450679,1043,94.07109189235831,807.6,Hazardous
2025-04-16,7.305255664445678,1001,0.5,44.9,Safe
2025-04-17,7.83470333060358,1120,0.5,95.2,Moderate
2025-04-18,6.754923401090367,949,42.24544284975857,330.0,Hazardous
2025-04-19,7.320822394032061,1077,81.8423350572017,698.8,Hazardous
2025-04-20,7.772012185256763,1082,120.0,995.1,Hazardous
2025-04-21,6.8688254491958,982,62.10867984917982,530.9,Hazardous
2025-04-22,7.608929944496284,1120,19.83594442876768,201.2,Hazardous
2025-04-23,6.528219546027139,1065,0.5,41.8,Safe
2025-04-24,6.816942027518912,1064,38.07614569611777,351.3,Hazardous
2025-04-25,6.798892485127755,1021,23.28492495318569,224.0,Hazardous
2025-04-26,6.01243740206604,1010,0.5,11.6,Safe
2025-04-27,7.638101697762803,1011,120.0,978.5,Hazardous
2025-04-28,6.714205099077395,1038,120.0,1007.3,Hazardous
2025-04-29,7.17973648860547,1083,91.61110529976713,740.7,Hazardous
2025-04-30,7.632087303058531,1028,0.5,16.6,Safe
2025-05-01,7.599033768442453,1079,81.78912626983198,668.3,Hazardous
2025-05-02,7.810455482834586,1157,71.06956586432615,615.5,Hazardous
2025-05-03,7.072525721755433,1161,61.26135381292374,515.2,Hazardous
2025-05-04,6.758743447292566,1149,101.4296563494738,837.3,Hazardous
2025-05-05,7.090655663978834,1154,70.85779201004074,651.3,Hazardous
2025-05-06,5.537633639691302,1108,76.06561401396628,680.3,Hazardous
2025-05-07,5.769697730381519,1078,70.93419206922194,635.5,Hazardous
2025-05-08,5.889885564406049,1081,56.19730392016084,504.6,Hazardous
2025-05-09,6.204286063318382,1046,0.5,83.3,Moderate
2025-05-10,7.553864672099508,1131,43.39858723141679,409.3,Hazardous
2025-05-11,6.292937427597475,1116,11.55671120311763,123.7,Poor
2025-05-12,6.802346407538421,1100,0.5,62.4,Moderate
2025-05-13,8.422773533658367,987,120.0,1016.7,Hazardous
2025-05-14,6.823501320743333,1064,120.0,952.5,Hazardous
2025-05-15,7.880136412032965,1170,106.8819481002597,898.2,Hazardous
2025-05-16,6.26575438279629,1090,51.93830382107065,410.8,Hazardous
2025-05-17,6.969205710992407,1136,106.454172840721,864.0,Hazardous
2025-05-18,6.249907095894007,1057,39.83683408066539,388.1,Hazardous
2025-05-19,6.840147059508157,1185,49.32968515305365,448.9,Hazardous
2025-05-20,7.979438174036843,1114,0.5,91.3,Moderate
2025-05-21,5.5,1133,58.99423057785079,540.8,Hazardous
2025-05-22,7.587337404386192,1200,42.24223265345934,340.3,Hazardous
2025-05-23,7.397328834219596,1188,0.5,10.0,Safe
2025-05-24,6.593693877828403,1106,36.68902705610885,345.8,Hazardous
2025-05-25,5.770716533881702,1093,35.2690391078185,328.3,Hazardous
2025-05-26,7.237346676406816,1105,120.0,1035.5,Hazardous
2025-05-27,6.656155382390866,1143,83.73971269520162,698.6,Hazardous
2025-05-28,7.392441258749166,1115,39.80658832333721,357.9,Hazardous
2025-05-29,7.188776719420069,1102,51.61849273160075,422.3,Hazardous
