Date,pH,EC,Turbidity,WQI,Class,WQI_new,Class_new,Qi_pH,Qi_EC,Qi_Turbidity,W_pH,W_EC,W_Turbidity
2025-02-01,7.462,741,10.3481,100.9,Poor,141.5245,Unsuitable,30.8024,49.4,206.9623,0.3696,0.0021,0.6283
2025-02-02,6.163,750,0.5,40.9,Safe,27.0112,Good,55.8,50.0,10.0,0.3696,0.0021,0.6283
2025-02-03,7.8926,842,61.2757,519.0,Hazardous,792.1151,Unsuitable,59.5088,56.1333,1225.5132,0.3696,0.0021,0.6283
2025-02-04,8.0763,710,41.3156,383.2,Hazardous,545.7992,Unsuitable,71.7527,47.3333,826.3116,0.3696,0.0021,0.6283
2025-02-05,5.5,684,2.9029,102.7,Poor,73.5332,Poor,100.0,45.6,58.0576,0.3696,0.0021,0.6283
2025-02-06,5.9097,739,0.5,42.6,Safe,33.2507,Good,72.6861,49.2667,10.0,0.3696,0.0021,0.6283
2025-02-07,7.2912,740,63.2606,532.6,Hazardous,802.2244,Unsuitable,19.411,49.3333,1265.2125,0.3696,0.0021,0.6283
2025-02-08,6.8622,696,44.3139,389.3,Hazardous,560.3512,Unsuitable,9.1891,46.4,886.2773,0.3696,0.0021,0.6283
2025-02-09,7.1514,674,120.0,951.9,Hazardous,1511.7717,Unsuitable,10.0957,44.9333,2400.0,0.3696,0.0021,0.6283
2025-02-10,6.3436,824,47.0729,449.6,Hazardous,607.817,Unsuitable,43.7605,54.9333,941.4579,0.3696,0.0021,0.6283
2025-02-11,8.0172,735,45.8076,412.5,Hazardous,600.7949,Unsuitable,67.8134,49.0,916.1528,0.3696,0.0021,0.6283
2025-02-12,7.919,687,24.2056,172.4,Poor,326.9139,Unsuitable,61.2697,45.8,484.1123,0.3696,0.0021,0.6283
2025-02-13,7.2315,761,62.5194,490.5,Hazardous,791.4412,Unsuitable,15.4303,50.7333,1250.3872,0.3696,0.0021,0.6283
2025-02-14,8.2566,715,55.0533,466.0,Hazardous,722.8745,Unsuitable,83.7751,47.6667,1101.0661,0.3696,0.0021,0.6283
2025-02-15,7.6193,709,79.46,651.2,Hazardous,1013.8695,Unsuitable,41.2866,47.2667,1589.1991,0.3696,0.0021,0.6283
2025-02-16,6.3376,745,10.4025,126.2,Poor,147.1462,Unsuitable,44.163,49.6667,208.0496,0.3696,0.0021,0.6283
2025-02-17,7.5239,662,13.7488,135.3,Poor,185.7708,Unsuitable,34.9263,44.1333,274.975,0.3696,0.0021,0.6283
2025-02-18,6.2413,736,12.0469,156.0,Poor,170.1793,Unsuitable,50.5768,49.0667,240.9374,0.3696,0.0021,0.6283
2025-02-19,8.0163,806,61.5077,532.9,Hazardous,798.0727,Unsuitable,67.7523,53.7333,1230.1541,0.3696,0.0021,0.6283
2025-02-20,7.1194,741,89.0666,751.4,Hazardous,1122.2763,Unsuitable,7.9624,49.4,1781.3314,0.3696,0.0021,0.6283
2025-02-21,6.9891,703,12.8361,144.8,Poor,161.6681,Unsuitable,0.7279,46.8667,256.7214,0.3696,0.0021,0.6283
2025-02-22,6.5099,697,14.1629,160.2,Poor,190.1485,Unsuitable,32.6759,46.4667,283.2584,0.3696,0.0021,0.6283
2025-02-23,8.3487,702,42.94,339.5,Hazardous,572.923,Unsuitable,89.9127,46.8,858.8005,0.3696,0.0021,0.6283
2025-02-24,7.0184,709,21.1352,182.4,Poor,266.1412,Unsuitable,1.2257,47.2667,422.7034,0.3696,0.0021,0.6283
2025-02-25,6.7539,703,67.7882,501.3,Hazardous,858.004,Unsuitable,16.4077,46.8667,1355.7644,0.3696,0.0021,0.6283
2025-02-26,6.8275,761,0.5,25.5,Safe,10.6399,Excellent,11.5006,50.7333,10.0,0.3696,0.0021,0.6283
2025-02-27,7.6819,642,0.5,34.6,Safe,23.1745,Excellent,45.4599,42.8,10.0,0.3696,0.0021,0.6283
2025-02-28,7.5207,759,0.5,64.0,Moderate,19.219,Excellent,34.7134,50.6,10.0,0.3696,0.0021,0.6283
2025-03-01,7.5664,803,0.5,80.7,Moderate,20.3507,Excellent,37.7589,53.5333,10.0,0.3696,0.0021,0.6283
2025-03-02,7.5839,837,0.5,27.9,Safe,20.786,Excellent,38.9238,55.8,10.0,0.3696,0.0021,0.6283
2025-03-03,8.8,769,0.5,47.6,Safe,50.7418,Poor,120.0,51.2667,10.0,0.3696,0.0021,0.6283
2025-03-04,6.7751,880,26.6869,272.5,Hazardous,341.0189,Unsuitable,14.9964,58.6667,533.738,0.3696,0.0021,0.6283
2025-03-05,6.6728,876,86.3981,696.1,Hazardous,1093.8812,Unsuitable,21.812,58.4,1727.9617,0.3696,0.0021,0.6283
2025-03-06,6.3815,863,24.6895,220.3,Hazardous,325.6136,Unsuitable,41.2314,57.5333,493.7909,0.3696,0.0021,0.6283
2025-03-07,7.7627,752,0.5,68.6,Moderate,25.1814,Good,50.8485,50.1333,10.0,0.3696,0.0021,0.6283
2025-03-08,8.2583,857,33.2371,310.7,Hazardous,448.7879,Unsuitable,83.8866,57.1333,664.7412,0.3696,0.0021,0.6283
2025-03-09,7.0576,838,83.4994,711.3,Hazardous,1050.8074,Unsuitable,3.8393,55.8667,1669.9875,0.3696,0.0021,0.6283
2025-03-10,6.356,748,0.5,74.1,Moderate,22.2545,Excellent,42.9306,49.8667,10.0,0.3696,0.0021,0.6283
2025-03-11,6.3712,819,0.5,26.4,Safe,21.8913,Excellent,41.921,54.6,10.0,0.3696,0.0021,0.6283
2025-03-12,7.7962,836,61.2055,563.4,Hazardous,788.8551,Unsuitable,53.0777,55.7333,1224.1091,0.3696,0.0021,0.6283
2025-03-13,7.8857,845,25.7585,270.8,Hazardous,345.6277,Unsuitable,59.0453,56.3333,515.1699,0.3696,0.0021,0.6283
2025-03-14,7.6924,828,65.2467,592.5,Hazardous,837.0796,Unsuitable,46.1584,55.2,1304.9337,0.3696,0.0021,0.6283
2025-03-15,6.5248,833,35.205,291.1,Hazardous,454.2193,Unsuitable,31.6828,55.5333,704.0992,0.3696,0.0021,0.6283
2025-03-16,7.3919,886,67.7086,529.8,Hazardous,860.6218,Unsuitable,26.1296,59.0667,1354.1713,0.3696,0.0021,0.6283
2025-03-17,7.2804,875,0.5,40.3,Safe,13.314,Excellent,18.6927,58.3333,10.0,0.3696,0.0021,0.6283
2025-03-18,7.3789,691,35.2759,318.9,Hazardous,452.7184,Unsuitable,25.2619,46.0667,705.5188,0.3696,0.0021,0.6283
2025-03-19,8.0095,806,26.2513,229.7,Hazardous,354.8664,Unsuitable,67.3001,53.7333,525.0268,0.3696,0.0021,0.6283
2025-03-20,7.3837,813,0.5,62.6,Moderate,15.8501,Excellent,25.5779,54.2,10.0,0.3696,0.0021,0.6283
2025-03-21,7.8235,741,0.5,10.0,Safe,26.6779,Good,54.9016,49.4,10.0,0.3696,0.0021,0.6283
2025-03-22,7.233,824,66.9854,539.9,Hazardous,847.6082,Unsuitable,15.5301,54.9333,1339.7082,0.3696,0.0021,0.6283
2025-03-23,7.447,876,19.8778,172.5,Poor,260.9247,Unsuitable,29.7978,58.4,397.5568,0.3696,0.0021,0.6283
2025-03-24,7.7775,771,0.5,91.5,Moderate,25.5485,Good,51.8344,51.4,10.0,0.3696,0.0021,0.6283
2025-03-25,5.76,835,31.4547,270.0,Hazardous,425.9366,Unsuitable,82.667,55.6667,629.0942,0.3696,0.0021,0.6283
2025-03-26,6.8589,779,87.0821,765.4,Hazardous,1097.8792,Unsuitable,9.4099,51.9333,1741.6418,0.3696,0.0021,0.6283
2025-03-27,6.7133,790,0.5,39.2,Safe,13.4584,Excellent,19.1155,52.6667,10.0,0.3696,0.0021,0.6283
2025-03-28,6.5505,886,0.5,25.6,Safe,17.4827,Excellent,29.9677,59.0667,10.0,0.3696,0.0021,0.6283
2025-03-29,6.9019,796,0.5,10.7,Safe,8.8122,Excellent,6.5421,53.0667,10.0,0.3696,0.0021,0.6283
2025-03-30,8.6118,841,102.2208,883.7,Hazardous,1324.362,Unsuitable,107.456,56.0667,2044.4167,0.3696,0.0021,0.6283
2025-03-31,6.3312,736,48.6658,414.2,Hazardous,628.1257,Unsuitable,44.5841,49.0667,973.3156,0.3696,0.0021,0.6283
2025-04-01,8.1031,1104,74.0581,681.7,Hazardous,957.964,Unsuitable,73.5375,73.6,1481.1627,0.3696,0.0021,0.6283
2025-04-02,5.5419,1047,0.5,56.2,Moderate,42.3552,Good,97.2036,69.8,10.0,0.3696,0.0021,0.6283
2025-04-03,6.8442,1012,0.5,61.4,Moderate,10.2644,Excellent,10.3897,67.4667,10.0,0.3696,0.0021,0.6283
2025-04-04,7.3249,1046,58.8486,496.5,Hazardous,747.6557,Unsuitable,21.6595,69.7333,1176.9719,0.3696,0.0021,0.6283
2025-04-05,7.734,957,40.3051,362.9,Hazardous,524.7013,Unsuitable,48.9321,63.8,806.1019,0.3696,0.0021,0.6283
2025-04-06,7.8547,1073,63.653,531.4,Hazardous,821.0879,Unsuitable,56.9827,71.5333,1273.06,0.3696,0.0021,0.6283
2025-04-07,7.9341,1005,28.5972,272.0,Hazardous,382.5141,Unsuitable,62.2715,67.0,571.9439,0.3696,0.0021,0.6283
2025-04-08,6.8308,1011,50.7717,466.8,Hazardous,642.3187,Unsuitable,11.2811,67.4,1015.4337,0.3696,0.0021,0.6283
2025-04-09,6.721,998,45.0581,390.9,Hazardous,573.223,Unsuitable,18.5989,66.5333,901.1614,0.3696,0.0021,0.6283
2025-04-10,7.9965,994,74.5556,647.7,Hazardous,961.5744,Unsuitable,66.4337,66.2667,1491.112,0.3696,0.0021,0.6283
2025-04-11,6.9829,1051,75.9476,597.9,Hazardous,954.943,Unsuitable,1.1427,70.0667,1518.9515,0.3696,0.0021,0.6283
2025-04-12,5.9353,1032,0.5,51.3,Moderate,32.661,Good,70.9798,68.8,10.0,0.3696,0.0021,0.6283
2025-04-13,6.0729,1049,0.5,10.0,Safe,29.2738,Good,61.809,69.9333,10.0,0.3696,0.0021,0.6283
2025-04-14,6.2794,1020,85.2178,695.4,Hazardous,1088.762,Unsuitable,48.0374,68.0,1704.3555,0.3696,0.0021,0.6283
2025-04-15,7.6479,1043,94.0711,807.6,Hazardous,1198.2287,Unsuitable,43.1963,69.5333,1881.4218,0.3696,0.0021,0.6283
2025-04-16,7.3053,1001,0.5,44.9,Safe,13.9443,Excellent,20.3504,66.7333,10.0,0.3696,0.0021,0.6283
2025-04-17,7.8347,1120,0.5,95.2,Moderate,27.0063,Good,55.6469,74.6667,10.0,0.3696,0.0021,0.6283
2025-04-18,6.7549,949,42.2454,330.0,Hazardous,537.0366,Unsuitable,16.3384,63.2667,844.9089,0.3696,0.0021,0.6283
2025-04-19,7.3208,1077,81.8423,698.8,Hazardous,1036.504,Unsuitable,21.3882,71.8,1636.8467,0.3696,0.0021,0.6283
2025-04-20,7.772,1082,120.0,995.1,Hazardous,1527.1195,Unsuitable,51.4675,72.1333,2400.0,0.3696,0.0021,0.6283
2025-04-21,6.8688,982,62.1087,530.9,Hazardous,783.8405,Unsuitable,8.745,65.4667,1242.1736,0.3696,0.0021,0.6283
2025-04-22,7.6089,1120,19.8359,201.2,Hazardous,264.423,Unsuitable,40.5953,74.6667,396.7189,0.3696,0.0021,0.6283
2025-04-23,6.5282,1065,0.5,41.8,Safe,18.0563,Excellent,31.452,71.0,10.0,0.3696,0.0021,0.6283
2025-04-24,6.8169,1064,38.0761,351.3,Hazardous,483.1322,Unsuitable,12.2039,70.9333,761.5229,0.3696,0.0021,0.6283
2025-04-25,6.7989,1021,23.2849,224.0,Hazardous,297.7012,Unsuitable,13.4072,68.0667,465.6985,0.3696,0.0021,0.6283
2025-04-26,6.0124,1010,0.5,11.6,Safe,30.7573,Good,65.8375,67.3333,10.0,0.3696,0.0021,0.6283
2025-04-27,7.6381,1011,120.0,978.5,Hazardous,1523.81,Unsuitable,42.5401,67.4,2400.0,0.3696,0.0021,0.6283
2025-04-28,6.7142,1038,120.0,1007.3,Hazardous,1515.1331,Unsuitable,19.053,69.2,2400.0,0.3696,0.0021,0.6283
2025-04-29,7.1797,1083,91.6111,740.7,Hazardous,1155.7851,Unsuitable,11.9824,72.2,1832.2221,0.3696,0.0021,0.6283
2025-04-30,7.6321,1028,0.5,16.6,Safe,22.0011,Excellent,42.1392,68.5333,10.0,0.3696,0.0021,0.6283
2025-05-01,7.599,1079,81.7891,668.3,Hazardous,1042.6907,Unsuitable,39.9356,71.9333,1635.7825,0.3696,0.0021,0.6283
2025-05-02,7.8105,1157,71.0696,615.5,Hazardous,913.2066,Unsuitable,54.0304,77.1333,1421.3913,0.3696,0.0021,0.6283
2025-05-03,7.0725,1161,61.2614,515.2,Hazardous,771.7727,Unsuitable,4.835,77.4,1225.2271,0.3696,0.0021,0.6283
2025-05-04,6.7587,1149,101.4297,837.3,Hazardous,1280.6922,Unsuitable,16.0838,76.6,2028.5931,0.3696,0.0021,0.6283
2025-05-05,7.0907,1154,70.8578,651.3,Hazardous,892.8094,Unsuitable,6.0437,76.9333,1417.1558,0.3696,0.0021,0.6283
2025-05-06,5.5376,1108,76.0656,680.3,Hazardous,992.0441,Unsuitable,97.4911,73.8667,1521.3123,0.3696,0.0021,0.6283
2025-05-07,5.7697,1078,70.9342,635.5,Hazardous,921.8393,Unsuitable,82.0202,71.8667,1418.6838,0.3696,0.0021,0.6283
2025-05-08,5.8899,1081,56.1973,504.6,Hazardous,733.6914,Unsuitable,74.0076,72.0667,1123.9461,0.3696,0.0021,0.6283
2025-05-09,6.2043,1046,0.5,83.3,Moderate,26.0353,Good,53.0476,69.7333,10.0,0.3696,0.0021,0.6283
2025-05-10,7.5539,1131,43.3986,409.3,Hazardous,559.1611,Unsuitable,36.9243,75.4,867.9717,0.3696,0.0021,0.6283
2025-05-11,6.2929,1116,11.5567,123.7,Poor,162.8018,Unsuitable,47.1375,74.4,231.1342,0.3696,0.0021,0.6283
